15:41:08.164 [main] INFO  piilapackage.Piiila - Entrada invalida
15:44:46.722 [main] INFO  piilapackage.Piiila - Se ingreso la opcion 0
15:44:46.722 [main] INFO  piilapackage.Piiila - Se cerro el programa
15:45:00.596 [main] INFO  piilapackage.Piiila - Entrada input obtenida y agregada al stack
15:45:01.902 [main] INFO  piilapackage.Piiila - Entrada entrada obtenida y agregada al stack
15:45:03.296 [main] INFO  piilapackage.Piiila - Se ingreso la opcion 1
15:45:06.639 [main] INFO  piilapackage.Piiila - Entrada entrada2 obtenida y agregada al stack
15:58:03.772 [main] INFO  piilapackage.Piiila - Se ingreso la opcion 0
15:58:03.772 [main] INFO  piilapackage.Piiila - Se cerro el programa
15:58:20.144 [main] INFO  piilapackage.Piiila - Entrada entrada obtenida y agregada al stack
15:58:22.088 [main] INFO  piilapackage.Piiila - Entrada entrada obtenida y agregada al stack
15:58:24.052 [main] INFO  piilapackage.Piiila - Se ingreso la opcion 3
15:58:30.312 [main] INFO  piilapackage.Piiila - Entrada 2, resultado obtenido
